1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
46 89 130 169 206 241 274 305 334 361 386 409 430 449 466 481 494 505 514 521 526 529 530 529 526 521 514 505 494 481 466 449 430 409 386 361 334 305 274 241 206 169 130 89 46 1 47 93 139 185 231 277 323 369 415 461 507 553 599 645 691 737 783 829 875 921 967 1013 1059 1105 1151 1197 1243 1289 1335 1381 1427 1473 1519 1565 1611 1657 1703 1749 1795 1841 1887 1933 1979 2025 2071 2117 2163 2209 2255 2301 2347 2393 2439 2485 
47 91 133 173 211 247 281 313 343 371 397 421 443 463 481 497 511 523 533 541 547 551 553 553 551 547 541 533 523 511 497 481 463 443 421 397 371 343 313 281 247 211 173 133 91 47 1 48 95 142 189 236 283 330 377 424 471 518 565 612 659 706 753 800 847 894 941 988 1035 1082 1129 1176 1223 1270 1317 1364 1411 1458 1505 1552 1599 1646 1693 1740 1787 1834 1881 1928 1975 2022 2069 2116 2163 2210 2257 2304 2351 2398 2445 2492 
48 93 136 177 216 253 288 321 352 381 408 433 456 477 496 513 528 541 552 561 568 573 576 577 576 573 568 561 552 541 528 513 496 477 456 433 408 381 352 321 288 253 216 177 136 93 48 1 49 97 145 193 241 289 337 385 433 481 529 577 625 673 721 769 817 865 913 961 1009 1057 1105 1153 1201 1249 1297 1345 1393 1441 1489 1537 1585 1633 1681 1729 1777 1825 1873 1921 1969 2017 2065 2113 2161 2209 2257 2305 2353 2401 2449 2497 
49 95 139 181 221 259 295 329 361 391 419 445 469 491 511 529 545 559 571 581 589 595 599 601 601 599 595 589 581 571 559 545 529 511 491 469 445 419 391 361 329 295 259 221 181 139 95 49 1 50 99 148 197 246 295 344 393 442 491 540 589 638 687 736 785 834 883 932 981 1030 1079 1128 1177 1226 1275 1324 1373 1422 1471 1520 1569 1618 1667 1716 1765 1814 1863 1912 1961 2010 2059 2108 2157 2206 2255 2304 2353 2402 2451 2500 
50 97 142 185 226 265 302 337 370 401 430 457 482 505 526 545 562 577 590 601 610 617 622 625 626 625 622 617 610 601 590 577 562 545 526 505 482 457 430 401 370 337 302 265 226 185 142 97 50 1 51 101 151 201 251 301 351 401 451 501 551 601 651 701 751 801 851 901 951 1001 1051 1101 1151 1201 1251 1301 1351 1401 1451 1501 1551 1601 1651 1701 1751 1801 1851 1901 1951 2001 2051 2101 2151 2201 2251 2301 2351 2401 2451 2501 
51 99 145 189 231 271 309 345 379 411 441 469 495 519 541 561 579 595 609 621 631 639 645 649 651 651 649 645 639 631 621 609 595 579 561 541 519 495 469 441 411 379 345 309 271 231 189 145 99 51 1 52 103 154 205 256 307 358 409 460 511 562 613 664 715 766 817 868 919 970 1021 1072 1123 1174 1225 1276 1327 1378 1429 1480 1531 1582 1633 1684 1735 1786 1837 1888 1939 1990 2041 2092 2143 2194 2245 2296 2347 2398 2449 2500 
52 101 148 193 236 277 316 353 388 421 452 481 508 533 556 577 596 613 628 641 652 661 668 673 676 677 676 673 668 661 652 641 628 613 596 577 556 533 508 481 452 421 388 353 316 277 236 193 148 101 52 1 53 105 157 209 261 313 365 417 469 521 573 625 677 729 781 833 885 937 989 1041 1093 1145 1197 1249 1301 1353 1405 1457 1509 1561 1613 1665 1717 1769 1821 1873 1925 1977 2029 2081 2133 2185 2237 2289 2341 2393 2445 2497 
53 103 151 197 241 283 323 361 397 431 463 493 521 547 571 593 613 631 647 661 673 683 691 697 701 703 703 701 697 691 683 673 661 647 631 613 593 571 547 521 493 463 431 397 361 323 283 241 197 151 103 53 1 54 107 160 213 266 319 372 425 478 531 584 637 690 743 796 849 902 955 1008 1061 1114 1167 1220 1273 1326 1379 1432 1485 1538 1591 1644 1697 1750 1803 1856 1909 1962 2015 2068 2121 2174 2227 2280 2333 2386 2439 2492 
54 105 154 201 246 289 330 369 406 441 474 505 534 561 586 609 630 649 666 681 694 705 714 721 726 729 730 729 726 721 714 705 694 681 666 649 630 609 586 561 534 505 474 441 406 369 330 289 246 201 154 105 54 1 55 109 163 217 271 325 379 433 487 541 595 649 703 757 811 865 919 973 1027 1081 1135 1189 1243 1297 1351 1405 1459 1513 1567 1621 1675 1729 1783 1837 1891 1945 1999 2053 2107 2161 2215 2269 2323 2377 2431 2485 
55 107 157 205 251 295 337 377 415 451 485 517 547 575 601 625 647 667 685 701 715 727 737 745 751 755 757 757 755 751 745 737 727 715 701 685 667 647 625 601 575 547 517 485 451 415 377 337 295 251 205 157 107 55 1 56 111 166 221 276 331 386 441 496 551 606 661 716 771 826 881 936 991 1046 1101 1156 1211 1266 1321 1376 1431 1486 1541 1596 1651 1706 1761 1816 1871 1926 1981 2036 2091 2146 2201 2256 2311 2366 2421 2476 
56 109 160 209 256 301 344 385 424 461 496 529 560 589 616 641 664 685 704 721 736 749 760 769 776 781 784 785 784 781 776 769 760 749 736 721 704 685 664 641 616 589 560 529 496 461 424 385 344 301 256 209 160 109 56 1 57 113 169 225 281 337 393 449 505 561 617 673 729 785 841 897 953 1009 1065 1121 1177 1233 1289 1345 1401 1457 1513 1569 1625 1681 1737 1793 1849 1905 1961 2017 2073 2129 2185 2241 2297 2353 2409 2465 
57 111 163 213 261 307 351 393 433 471 507 541 573 603 631 657 681 703 723 741 757 771 783 793 801 807 811 813 813 811 807 801 793 783 771 757 741 723 703 681 657 631 603 573 541 507 471 433 393 351 307 261 213 163 111 57 1 58 115 172 229 286 343 400 457 514 571 628 685 742 799 856 913 970 1027 1084 1141 1198 1255 1312 1369 1426 1483 1540 1597 1654 1711 1768 1825 1882 1939 1996 2053 2110 2167 2224 2281 2338 2395 2452 
58 113 166 217 266 313 358 401 442 481 518 553 586 617 646 673 698 721 742 761 778 793 806 817 826 833 838 841 842 841 838 833 826 817 806 793 778 761 742 721 698 673 646 617 586 553 518 481 442 401 358 313 266 217 166 113 58 1 59 117 175 233 291 349 407 465 523 581 639 697 755 813 871 929 987 1045 1103 1161 1219 1277 1335 1393 1451 1509 1567 1625 1683 1741 1799 1857 1915 1973 2031 2089 2147 2205 2263 2321 2379 2437 
